,label,area,mean_intensity,weighted_centroid-0,weighted_centroid-1,target_intensity,target_log_intensity,SBR,size_fraction,expressed,normalized_target_log_intensity
191,192,132.0,499.1363636363636,424.257338433051,584.1466472391706,1141.3636363636363,7.039978998793314,1.6552820693485,0.9090909090909091,True,0.15226200533985756
193,194,118.0,528.9491525423729,425.36937644193796,182.37354204050243,62158.84745762712,11.037448443325667,2.931626845703307,0.8983050847457628,True,0.8065440932880132
194,195,153.0,537.437908496732,426.0437928686092,193.88044218514375,63938.882352941175,11.065682942838622,2.368611656391746,0.6535947712418301,True,0.8111653486971757
204,205,50.0,474.84,448.0094347569708,908.6215567349002,1282.22,7.156348229622116,2.0269650703919027,1.0,True,0.171308630805308
206,207,76.0,496.7105263157895,454.06709933774835,618.5856158940397,1155.1973684210527,7.0520264901071,1.783736620346058,1.0,True,0.15423386725917831
208,209,131.0,520.3282442748092,461.55957044144185,585.524610125728,806.7862595419847,6.693058775124402,1.3047319937121598,0.7022900763358778,True,0.09548016086472333
217,218,49.0,488.734693877551,478.5184148989477,374.04918991147485,615.0612244897959,6.421721814867473,1.0731548722933542,0.08163265306122448,True,0.05106933662759716
226,227,185.0,519.8108108108108,502.0189985961629,165.63416003743566,720.2108108108108,6.579543961947449,1.1352274512250293,0.13513513513513514,True,0.07690072954973304
231,232,140.0,490.25,508.0582938733882,795.8404458366723,1151.6857142857143,7.0489819865740655,1.3626732426670352,0.7428571428571429,True,0.15373556097916796
232,233,98.0,475.8979591836735,508.50647540632104,1229.0169389768,715.7857142857143,6.57338084044307,1.2189329095328965,0.4387755102040816,True,0.07589198637805517
245,246,218.0,764.3302752293578,548.7753684943345,819.9335449875168,45197.779816513765,10.718803245510262,3.0258827777530053,0.8853211009174312,True,0.7543901373330839
247,248,150.0,718.2666666666667,553.413504733618,808.1366994616669,49297.073333333334,10.805619993833215,2.7685684968711244,0.9,True,0.7685997877506259
261,262,92.0,499.1304347826087,580.2627831010453,775.3485844947735,1849.4673913043478,7.522652980029946,1.40231532448117,0.9239130434782609,True,0.23126321963899454
264,265,166.0,512.0722891566265,589.6879676250529,713.5640440449861,3253.1987951807228,8.087394035943579,2.626598590327925,1.0,True,0.323696685945688
268,269,192.0,539.015625,596.4176595066237,893.4312065783498,1083.0677083333333,6.987552764283433,1.3648404213759555,0.6770833333333334,True,0.14368119023811832
269,270,53.0,484.33962264150944,596.5677834047526,1169.960303856642,1508.698113207547,7.319002381237138,2.1150112488945414,1.0,True,0.19793089756901594
270,271,254.0,1390.3464566929133,603.4990060824357,927.0010873628054,939.6220472440945,6.845477717009358,1.316331508348227,0.5078740157480315,True,0.12042718920930251
271,272,221.0,568.5248868778281,605.5634172742033,533.3711438667982,773.2036199095022,6.65054242904787,1.1287136609684658,0.12217194570135746,True,0.08852133752188873
276,277,229.0,651.6768558951965,625.6209710923785,1500.384543736682,2243.5764192139736,7.715826487333795,2.161862645565869,0.7816593886462883,True,0.2628807135182547
277,278,20.0,491.3,622.0358233258702,864.4740484429066,1036.3,6.943411956190172,1.4631042354085557,1.0,True,0.13645648458777737
280,281,173.0,513.1387283236994,629.4932918792877,1039.4421839973866,816.179190751445,6.704633927365447,1.2991435344648423,0.6069364161849711,True,0.09737471312626655
281,282,219.0,570.4200913242009,630.9323657962568,1655.9572853460559,1458.3424657534247,7.285055772334918,1.5410435471601436,0.726027397260274,True,0.1923747179760278
286,287,16.0,460.625,636.5284938941655,4.501356852103121,657.75,6.488824919920402,1.1384166998022263,0.625,True,0.062052374844908886
287,288,141.0,702.1702127659574,644.5751267599943,567.4062380057775,22499.425531914894,10.021245055951672,3.030726721202764,0.9219858156028369,True,0.6402179503876695
288,289,205.0,741.6634146341463,649.8006984958005,557.3842647706869,27980.824390243903,10.239274711339537,2.9009675487342186,0.8926829268292683,True,0.6759037511526775
293,294,103.0,483.5339805825243,656.9668500522047,1212.0311420769417,808.1165048543689,6.694706237303034,1.315826761517192,0.7475728155339806,True,0.09574980770230601
303,304,157.0,511.9363057324841,700.8212730484983,1073.3613979645158,887.6687898089172,6.788598688966752,1.194945627289024,0.22929936305732485,True,0.11111756727358513
304,305,59.0,475.0508474576271,701.0201940916227,578.9957185671472,1351.9661016949153,7.209315183577722,1.5708287001078542,1.0,True,0.17997794765868091
305,306,31.0,479.4193548387097,700.4374915892881,1524.3225003364284,879.2258064516129,6.7790417548556565,1.40357176931078,1.0,True,0.1095533449846211
309,310,190.0,535.5631578947368,708.309158092318,1128.860481342807,780.2894736842105,6.659664970943566,1.2216914467133393,0.3157894736842105,True,0.09001446106960587
312,313,65.0,517.8,712.6624476334789,1073.4929138069347,2190.1846153846154,7.6917411185199445,2.4572853692577477,1.0,True,0.25893856321161945
320,321,76.0,479.4342105263158,727.4688915113758,515.1166396794467,1501.8552631578948,7.314456464936481,1.915911067683714,1.0,True,0.19718684895273464
322,323,32.0,480.90625,727.5155630645266,1312.5515628046007,2118.84375,7.658625817937467,2.9240797417574838,1.0,True,0.253518447233555
324,325,137.0,497.24087591240874,734.6912744781422,1243.1033880391062,760.5912408759124,6.634096079356211,1.1191182344436916,0.16058394160583941,True,0.08582949655482341
325,326,53.0,501.75471698113205,734.2971458654533,1108.33715639454,1090.9622641509434,6.994815396922272,1.5033828999704262,1.0,True,0.1448698948706051
328,329,12.0,454.5,739.4570957095709,1294.027869453612,1071.75,6.977048105478087,1.6377598004676035,1.0,True,0.14196184999256722
335,336,32.0,455.0625,751.915052877352,1645.0995742343084,773.875,6.651410361839396,1.174381045515371,0.3125,True,0.0886633956131182
336,337,20.0,502.6,754.0033824114604,770.4840827695981,1773.75,7.480851228474252,2.6634943456902738,1.0,True,0.22442135688875942
342,343,101.0,531.4752475247525,766.0991821755249,1180.7224799269734,668.8514851485148,6.505562040189926,1.14346958503866,0.1188118811881188,True,0.0647918074154723
343,344,12.0,496.6666666666667,762.9790268456376,665.5713087248322,876.9166666666666,6.776411966952812,1.4020306424137914,1.0,True,0.10912291689910125
344,345,263.0,1535.4790874524715,770.5845886026581,1094.3543437725186,10260.467680608364,9.23605370059119,3.1787638401848053,0.8288973384030418,True,0.5117024866542881
349,350,84.0,477.4642857142857,775.2705762086418,1528.5271399007654,794.5238095238095,6.677742953462052,1.2888437221706315,0.6428571428571429,True,0.09297335801984108
356,357,77.0,482.2987012987013,794.10959420524,1535.6559765193742,1263.025974025974,7.141265687480257,1.8246378540164416,1.0,True,0.1688400097686571
361,362,189.0,547.4550264550264,810.6085880795214,1067.9278431220946,1156.6772486772486,7.053306732943264,1.3897951737895946,0.671957671957672,True,0.15444340981292348
363,364,136.0,491.8602941176471,816.0346822537485,657.7285216689339,978.4117647058823,6.885930608734319,1.5136385056136907,0.9485294117647058,True,0.12704827858311885
367,368,43.0,481.93023255813955,820.1034599237562,1229.869951261883,1065.3255813953488,6.971035741654049,1.649951653814526,1.0,True,0.14097778194379806
377,378,183.0,508.8196721311475,864.9308159890028,472.4784242970982,1204.2677595628415,7.093626992806896,1.596758770198866,0.8087431693989071,True,0.16104279079037465
382,383,109.0,489.45871559633025,887.1005229517722,650.9028884182114,807.2293577981651,6.6936078382964705,1.3069068391318337,0.5504587155963303,True,0.09557002826799477
390,391,12.0,536.8333333333334,895.4785780813412,1257.015057435579,920.0833333333334,6.824464245651137,1.4119756432282138,1.0,True,0.11698782885744263
395,396,116.0,502.5258620689655,913.8113152522601,1372.0372257389395,39732.043103448275,10.589913272189392,6.3193033228651165,1.0,True,0.7332941910025106
405,406,127.0,499.73228346456693,949.6259414489648,1075.696168026975,2277.212598425197,7.730707429480908,2.1178640111235953,1.0,True,0.2653163378635428
411,412,207.0,553.207729468599,968.681375203032,1335.2933178475994,1535.0772946859904,7.336336013597828,1.685086532120271,0.8115942028985508,True,0.20076796370048822
413,414,191.0,572.1413612565445,970.9233796063288,1048.3009818903906,4889.214659685864,8.494786968279914,2.5806509986449884,0.900523560209424,True,0.39037634468552396
414,415,41.0,481.8536585365854,967.1183944118243,1205.561652156307,1210.0,7.098375638590786,1.9627197048431082,1.0,True,0.1618200209659948
419,420,46.0,493.1304347826087,976.9443219890671,1079.939825427614,1366.7608695652175,7.220198890598958,1.833927841273695,1.0,True,0.18175932826790864
422,423,105.0,556.7047619047619,985.4415779929517,1040.5320593971328,3814.247619047619,8.246498707767547,1.801211867841516,0.4380952380952381,True,0.34973799491070734
423,424,142.0,536.7746478873239,987.7243840361051,1028.271010994201,4966.147887323944,8.510399745593272,2.718264253942709,1.0,True,0.39293175146998993
424,425,149.0,494.8859060402685,988.9964604410209,1367.1859014348097,947.1073825503356,6.853412479102252,1.4406055589133646,0.8053691275167785,True,0.1217259040041363
426,427,150.0,498.8,991.5654236835071,667.7381448810479,1061.0666666666666,6.967029970444609,1.455005722546905,0.8533333333333334,True,0.1403221410722113
455,456,16.0,485.5,1067.4497940267765,592.5176364572606,2849.0,7.954723334497908,3.158435412349982,1.0,True,0.3019819324607931
460,461,162.0,506.5740740740741,1098.7499299335893,745.0324620727472,637.4629629629629,6.457496178031867,1.0577449467402484,0.06790123456790123,True,0.05692467219701092
461,462,151.0,514.6423841059602,1098.9852273165961,1253.2527570099471,1248.2516556291391,7.1294991757400545,1.6414608099960417,0.9337748344370861,True,0.16691413691932833
468,469,222.0,635.2972972972973,1130.2885929833517,1013.8551150060978,846.8063063063063,6.7414719864534645,1.2911362142280107,0.527027027027027,True,0.10340414813521526
469,470,186.0,534.247311827957,1137.031880849351,769.1475797524404,712.6989247311828,6.569059065780972,1.149736266062546,0.24193548387096775,True,0.07518462393569125
